Location,State
Canberra,Australian Capital Territory
Tuggeranong,Australian Capital Territory
MountGinini,Australian Capital Territory
Albury,New South Wales
Badgerys Creek,New South Wales
Cobar,New South Wales
CoffsHarbour,New South Wales
Moree,New South Wales
Newcastle,New South Wales
NorahHead,New South Wales
Penrith,New South Wales
Richmond,New South Wales
Sydney,New South Wales
SydneyAirport,New South Wales
WaggaWagga,New South Wales
Williamtown,New South Wales
Wollongong,New South Wales
AliceSprings,Northern Territory
Darwin,Northern Territory
Katherine,Northern Territory
Uluru,Northern Territory
Brisbane,Queensland
Cairns,Queensland
GoldCoast,Queensland
Townsville,Queensland
Adelaide,South Australia
MountGambier,South Australia
Nuriootpa,South Australia
Woomera,South Australia
NorfolkIsland,Tasmania
Hobart,Tasmania
Launceston,Tasmania
Ballarat,Victoria
Bendigo,Victoria
Sale,Victoria
MelbourneAirport,Victoria
Melbourne,Victoria
Mildura,Victoria
Nhil,Victoria
Portland,Victoria
Watsonia,Victoria
Dartmoor,Victoria
Albany,Western Australia
Witchcliffe,Western Australia
PearceRAAF,Western Australia
PerthAirport,Western Australia
Perth,Western Australia
SalmonGums,Western Australia
Walpole,Western Australia
